,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
188,276585,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
189,276586,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
190,276586,24.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
191,276587,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
192,276653,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
193,276653,74.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
194,276653,541.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
195,276655,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
196,276655,828.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
197,276659,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
198,276659,3.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
199,276775,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
200,276775,184.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
201,276775,780.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
202,276776,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
203,276776,458.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
204,276794,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
205,276794,8.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
206,276794,413.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
207,276807,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
208,276807,158.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
209,276808,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
210,276808,512.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
211,276810,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
212,276811,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
213,276811,216.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
214,276811,2170.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
215,276831,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
216,276831,125.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
217,276831,665.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
218,276831,1485.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
219,276834,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
220,276834,411.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
221,276870,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
222,276870,78.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
223,276870,137.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
224,276870,488.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
225,276870,1040.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
226,276870,1803.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
227,276935,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
228,276935,81.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
229,276935,265.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
