,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
272,320856,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
273,320857,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
274,320857,217.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
275,320858,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
276,320859,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
277,320887,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
278,320887,283.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
279,320888,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
280,320916,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
281,320917,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
282,320917,99.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
283,320917,326.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
284,320917,605.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
285,320917,952.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
286,320917,1469.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
287,320920,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
288,320933,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
289,320933,52.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
290,320934,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
291,320934,169.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
292,320934,530.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
293,320936,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
294,320941,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
295,320941,4.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
296,320980,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
297,320995,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
298,320995,4.0,12.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
299,320996,1.0,12.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
300,321004,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
301,321004,66.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
302,321004,165.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
303,321005,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
304,321006,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
305,321007,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
306,321007,102.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
307,321007,433.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
308,321009,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
309,321009,44.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
310,321010,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
