,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
8,297100,164.0,7.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
9,297100,182.0,8.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
10,297100,195.0,9.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
11,297100,207.0,10.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
22,297215,1.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
23,297218,1.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
24,297218,9.0,4.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
25,297219,1.0,4.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
26,297219,28.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
28,297224,10.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
29,297225,1.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
31,297227,9.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
32,297292,1.0,4.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
33,297292,326.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
34,297293,1.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
35,297296,1.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
36,297296,208.0,6.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
37,297308,1.0,6.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
39,297359,34.0,2.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
40,297359,51.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
42,297411,25.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
43,297411,35.0,4.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
44,297411,449.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
46,297424,13.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
47,297425,1.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
48,297426,1.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
49,297426,7.0,4.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
50,297429,1.0,4.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
51,297429,49.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
52,297430,1.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
53,297431,1.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
54,297432,1.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
55,297433,1.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
56,297434,1.0,5.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
57,297434,134.0,6.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
58,297435,1.0,6.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
60,297467,4.0,2.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
61,297467,54.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
62,297468,1.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
63,297469,1.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
65,297483,32.0,3.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
66,297483,172.0,4.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
67,297484,1.0,4.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
68,297485,1.0,4.0,2.0,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1.00
