Unnamed: 0,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
44,315741,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
45,315764,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
46,315770,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
47,315784,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
48,315785,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
49,315786,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
50,315790,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
51,315800,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
52,315801,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
53,315840,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
54,315973,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
55,315974,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
56,315974,21.0,9.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
57,316058,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
58,316058,36.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
59,316059,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
60,316059,54.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
61,316059,60.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
62,316060,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
63,316060,219.0,9.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
64,316061,1.0,9.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
65,316061,112.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
66,316062,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
67,316082,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
68,316110,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
69,316111,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
70,316113,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
71,316114,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
72,316114,10.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
73,316114,726.0,9.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
74,316153,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
75,316153,158.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
76,316153,392.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
77,316153,407.0,10.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
78,316153,475.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
79,316153,684.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
80,316186,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
81,316186,4.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
82,316186,62.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
83,316187,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
84,316187,228.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
85,316187,523.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
86,316187,793.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
87,316187,1127.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
88,316187,1534.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
89,316199,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
90,316199,429.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
91,316199,702.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
92,316199,989.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
93,316200,1.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
