,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
59,392358,82,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
60,392359,1,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
61,392360,1,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
62,392361,1,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
63,392361,253,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
64,392361,264,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
65,392361,278,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
66,392361,286,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
67,392362,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
68,392363,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
69,392363,17,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
70,392363,26,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
71,392363,33,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
72,392363,952,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
73,392382,1,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
74,392382,5,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
75,392382,14,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
76,392382,19,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
77,392382,78,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
78,392431,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
79,392431,19,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
80,392431,91,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
81,392431,131,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
82,392431,141,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
83,392432,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
84,392440,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
85,392440,195,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
86,392440,204,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
87,392441,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
88,392442,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
89,392442,286,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
90,392442,556,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
91,392473,1,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
92,392473,69,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
93,392473,129,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
94,392476,1,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
95,392477,1,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
96,392517,1,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
97,392517,32,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
98,392524,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
99,392524,16,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
100,392524,60,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
101,392524,130,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
102,392526,1,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
103,392526,685,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
104,392526,795,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
105,392526,924,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
106,392526,1014,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
107,392526,1168,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
108,392538,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
109,392538,20,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
110,392538,67,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
111,392538,111,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
112,392540,1,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
113,392541,1,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
114,392542,1,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
115,392542,491,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
116,392542,626,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
117,392542,733,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
118,392542,773,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
119,392542,827,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
120,392542,935,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
121,392542,1095,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
122,392633,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
123,392633,3,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
124,392634,1,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
125,392635,1,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
126,392642,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
127,392642,4,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
128,392642,174,2,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
129,392642,188,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
130,392642,1249,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
131,392642,1499,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
132,392642,1508,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
133,392642,1538,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
134,392642,1704,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
135,392668,1,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
